domain,company_commercial_name,company_legal_name,company_all_available_names,phone_numbers,social_links,status
bostonzen.org,Greater Boston Zen Center,GREATER BOSTON ZEN CENTER INC.,Greater Boston Zen Center | Boston Zen | GREATER BOSTON ZEN CENTER INC.,,,ok
mazautoglass.com,MAZ Auto Glass,,MAZ Auto Glass,4156264474,,ok
melatee.com,Melatee,,Melatee,,,failed
timent.com,Timent Technologies,,Timent Technologies | Timent,9542749020,,ok
tlalocrivas.com,Tlaloc Rivas,,Tlaloc Rivas,,https://www.linkedin.com/in/tlaloc-rivas-2a6b2610/; //www.linkedin.com/pub/tlaloc-rivas/10/b26/2a6/,ok
creativebusinessassociates.com,Creative Business Associates,,Creative Business Associates,,,failed
cumberland-river.com,Cumberland River,,Cumberland River,,,ok
verdantporch.com,The Verdant Porch,,The Verdant Porch | Verdant Porch,,,failed
workitstudio.com,Work It! Studio by WandaWoman,Forge Marketing & Management Pty.,Work It! Studio by WandaWoman | Work It! Studio | Forge Marketing & Management Pty.,,,ok
coffee-homemachines.club,Coffee-Homemachines,,Coffee-Homemachines | Northecomm LLC.,,,failed
mendiolagardening.com,Mendiola's Gardening,,Mendiola's Gardening | Mendiola’s gardening - Home,,,failed
thestonenc.com,Thestonenc,,Thestonenc | The Stone Church | The Stone,,https://www.instagram.com/thestonech/; https://www.facebook.com/thestonenc,ok
kansaslimousin.org,Kansas Limousin Breeders Association,Kansas Limousin Breeders Association,Kansas Limousin Breeders Association | Kansas Limousin | Kansas Limousin Breeders,6204325056; 2358928539,https://www.facebook.com/groups/1235892853935518/; https://www.facebook.com/groups/294431518392859/user/1483456138/?__cft__%5b0%5d=AZUHMermbSGOCqsTa2CUw-C3RjZHRYoqHY5zxofYh9cPVLmj8oovH-ozQ8Az2pl-qEBLQkYfTipIbB4ljFZlj5IbZq8M64Cs76vBohtKhUkPh_r2JcYW9Vp8nByochGu4Ogyg3-7aPEnZtlSnHHAXPo3RLUrj7WQ5oSijTWRv8Ob8_9t3oXuz5YSp4Y_z5bs4iI&__tn__=-%5dK-R,ok
kkcger.com,Kkcger,,Kkcger,,,ok
maddux.pro,MADDUX,,MADDUX | MADDUX Pro-Wash,,,failed
ohanaconsulting.net,Ohana Management Consulting,,Ohana Management Consulting | OhanaConsulting,9492307919,,ok
postmodern-strings.com,Postmodern Strings by Viol Consort,,Postmodern Strings by Viol Consort | PostModern Strings,9562806706,,ok
takapartners.com,Taka Partners,,Taka Partners,8185837033,,ok
techbarstore.com,Ambar Shop,,Ambar Shop,,,ok
top-salon-hair-salon.business.site,Top salon Hair Salon,,Top salon Hair Salon | Top salon,,,failed
dolee-rentals.com,DoLee Rentals Inc.,DoLee Rentals Inc.,DoLee Rentals Inc. | DOLEE RENTALS | DoLee Rentals Inc. DoLee Rentals,(229) 436-9620; 2293445037; 229-344-5037; 2294369620,https://facebook.com/DoLee-Rentals-Inc-141860142549724,ok
kns-construction.com,KNS Construction,,KNS Construction,2032318300,,ok
timothyburger.com,Timothy Burger,,Timothy Burger,,,ok
trueaudio.com,True Audio,,True Audio,8654943388,,ok
venturemediaagency.com,Venture Media Agency,,Venture Media Agency,,,failed
garrettwietholter.com,Garrett Wietholter,Garrett Wietholter Ins Agy Inc.,Garrett Wietholter | Garrett Wietholter - State Farm Insurance Agent | Garrett Wietholter Ins Agy Inc.,3178738958; 3178733230; 8557337333,https://www.facebook.com/153341281385570; https://www.linkedin.com/in/garrett-wietholter-b5037a88,ok
nashvilleucc.org,Nashville United Church of Christ,,Nashville United Church of Christ | NASHVILLE UCC | Nashville U.C.C. Recreational Park,9376985867,,ok
outforlifeministries.com,Out For Life Ministries,,Out For Life Ministries,,,failed
phack.org,Pacific Hackers Infosec,,Pacific Hackers Infosec | Pacific Hackers Infosec Conference | Pacific Hackers Meetup & Conference,4089874893,https://www.facebook.com/PHackCon; https://www.linkedin.com/company/pacific-hackers-conference; https://www.instagram.com/pacifichackersca/,ok
potomaccanine.com,Potomac Canine,,Potomac Canine | Potomac Canine Services,,,ok
azureskies.com,Azure Skies Landscaping,,Azure Skies Landscaping,,,ok
couplescounselingatlanta.com,Atlanta Couples Counseling,,Atlanta Couples Counseling,,,failed
